match_no,file,home_pdf,away_pdf,home_dist_km,away_dist_km,home_sprint_km,away_sprint_km,err
1,PMSR-M01 MEX V RSA.pdf,Mexico,South Africa,107.3,97.1,5.3,5.1,
2,PMSR-M02 KOR V CZE .pdf,South Korea,Czech Republic,111.8,117.6,5.4,6.0,
3,PMSR-M03-CAN-V-BIH-V2.pdf,Canada,Bosnia and Herzegovina,111.3,109.5,5.8,5.2,
4,PMSR-M04-USA-V-PAR.pdf,United States,Paraguay,119.9,114.3,6.2,6.1,
5,PMSR-M05-HAI-V-SCO.pdf,Haiti,Scotland,113.7,117.6,5.9,5.9,
6,PMSR-M06-AUS-V-TUR.pdf,Australia,Turkey,116.6,112.5,5.6,5.1,
7,PMSR-M07-BRA-V-MAR POST-V2.pdf,Brazil,Morocco,113.7,114.9,6.8,6.5,
8,PMSR-M08-QAT-V-SUI.pdf,Qatar,Switzerland,109.2,109.4,4.8,5.6,
9,PMSR-M09-CIV-V-ECU.pdf,Ivory Coast,Ecuador,109.6,108.4,5.8,5.7,
10,PMSR-M10-GER-V-CUW-V2.pdf,Germany,Curaçao,116.2,103.5,6.3,5.0,
11,PMSR-M11-NED-V-JPN.pdf,Netherlands,Japan,102.9,109.4,4.6,5.1,
12,PMSR-M12-SWE-V-TUN.pdf,Sweden,Tunisia,111.3,109.7,5.1,5.9,
13,PMSR-M13-KSA-V-URU.pdf,Saudi Arabia,Uruguay,109.5,110.9,4.7,5.2,
14,PMSR-M14-ESP-V-CPV.pdf,Spain,Cape Verde,115.5,112.4,5.0,4.2,
15,PMSR-M15-IRN-V-NZL.pdf,Iran,New Zealand,113.0,112.9,6.1,6.6,
16,PMSR-M16-BEL-V-EGY.pdf,Belgium,Egypt,113.3,111.3,6.3,6.2,
17,PMSR-M17-FRA-V-SEN.pdf,France,Senegal,120.2,116.7,7.0,6.2,
18,PMSR-M18-IRQ-V-NOR.pdf,Iraq,Norway,111.7,116.3,5.6,5.3,
19,PMSR-M19-ARG-V-ALG.pdf,Argentina,Algeria,108.4,109.3,4.4,5.2,
20,PMSR-M20-AUT-V-JOR-V3.pdf,Austria,Jordan,120.4,119.2,6.7,6.7,
21,PMSR-M21-GHA-V-PAN-V2.pdf,Ghana,Panama,119.0,117.3,6.2,5.7,
22,PMSR-M22-ENG-V-CRO.pdf,England,Croatia,117.0,113.7,6.6,6.4,
23,PMSR-M23-POR-V-COD.pdf,Portugal,DR Congo,109.8,112.4,5.7,6.0,
24,PMSR-M24-UZB-V-COL-V2.pdf,Uzbekistan,Colombia,112.0,108.7,4.5,4.7,
25,PMSR-M25-CZE-V-RSA.pdf,Czech Republic,South Africa,119.6,112.0,6.6,5.9,
26,PMSR-M26-SUI-V-BIH.pdf,Switzerland,Bosnia and Herzegovina,114.9,113.1,5.8,5.6,
27,PMSR-M27-CAN-V-QAT.pdf,Canada,Qatar,111.2,90.8,5.7,3.7,
28,PMSR-M28-MEX-V-KOR.pdf,Mexico,South Korea,116.5,112.1,5.3,5.3,
29,PMSR-M29-BRA-V-HAI.pdf,Brazil,Haiti,113.6,112.8,5.9,6.1,
30,PMSR-M30-SCO-V-MAR.pdf,Scotland,Morocco,117.8,115.4,5.9,6.4,
31,PMSR-M31-TUR-V-PAR.pdf,Turkey,Paraguay,123.3,117.0,5.4,6.3,
32,PMSR-M32-USA-V-AUS.pdf,United States,Australia,111.1,112.8,5.5,6.2,
33,PMSR-M33-GER-V-CIV.pdf,Germany,Ivory Coast,125.8,113.1,7.6,5.3,
34,PMSR-M34-ECU-V-CUW.pdf,Ecuador,Curaçao,103.7,106.1,5.4,5.2,
35,PMSR-M35-NED-V-SWE.pdf,Netherlands,Sweden,108.4,110.1,5.5,5.7,
36,PMSR-M36-TUN-V-JPN.pdf,Tunisia,Japan,112.4,112.2,5.5,5.3,
37,PMSR-M37-URU-V-CPV.pdf,Uruguay,Cape Verde,112.8,107.4,6.7,4.7,
38,PMSR-M38-ESP-V-KSA.pdf,Spain,Saudi Arabia,115.5,115.0,5.9,6.7,
39,PMSR-M39-BEL-V-IRN.pdf,Belgium,Iran,111.7,112.6,5.2,5.2,
40,PMSR-M40-NZL-V-EGY.pdf,New Zealand,Egypt,118.5,118.3,6.8,7.1,
41,PMSR-M41-NOR-V-SEN.pdf,Norway,Senegal,120.3,111.2,6.5,6.1,
42,PMSR-M42-FRA-V-IRQ.pdf,France,Iraq,107.7,112.1,4.7,4.5,
43,PMSR-M43-ARG-V-AUT.pdf,Argentina,Austria,104.4,107.8,4.5,4.9,
44,PMSR-M44-JOR-V-ALG.pdf,Jordan,Algeria,117.5,116.3,5.9,6.6,
45,PMSR-M45-ENG-V-GHA.pdf,England,Ghana,108.3,105.9,5.1,4.3,
46,PMSR-M46-PAN-V-CRO.pdf,Panama,Croatia,108.2,110.0,5.8,6.9,
47,PMSR-M47-POR-V-GHA.pdf,Portugal,Ghana,110.2,109.6,6.0,6.5,
48,PMSR-M48-COL-V-COD-V2.pdf,Colombia,DR Congo,104.0,106.0,5.0,5.1,
49,PMSR-M49-SCO-V-BRA.pdf,Scotland,Brazil,113.2,110.7,4.4,4.2,
50,PMSR-M50-MAR-V-HAI-V2.pdf,Morocco,Haiti,111.2,107.5,6.8,5.9,
51,PMSR-M51-SUI-V-CAN.pdf,Switzerland,Canada,109.9,114.6,5.2,7.1,
52,PMSR-M52-BIH-V-QAT.pdf,Bosnia and Herzegovina,Qatar,113.8,110.0,5.5,5.4,
53,PMSR-M53-CZE-V-MEX.pdf,Czech Republic,Mexico,111.6,114.7,5.3,5.5,
54,PMSR-M54-RSA-V-KOR.pdf,South Africa,South Korea,111.8,111.0,5.4,5.4,
55,PMSR-M55-CUW-V-CIV.pdf,Curaçao,Ivory Coast,106.2,106.4,5.5,5.3,
56,PMSR-M56-ECU-V-GER.pdf,Ecuador,Germany,109.8,114.5,6.1,6.3,
57,PMSR-M57-JPN-V-SWE.pdf,Japan,Sweden,110.2,111.1,5.3,5.1,
58,PMSR-M58-TUN-V-NED.pdf,Tunisia,Netherlands,111.1,106.8,5.1,5.3,
59,PMSR-M59-TUR-v-USA.pdf,Turkey,United States,115.0,127.6,5.8,7.7,
60,PMSR-M60-PAR-V-AUS.pdf,Paraguay,Australia,113.1,116.4,5.5,5.6,
61,PMSR-M61-NOR-V-FRA.pdf,Norway,France,113.5,109.1,6.0,5.6,
62,PMSR-M62-SEN-V-IRQ.pdf,Senegal,Iraq,111.9,104.7,6.1,5.4,
63,PMSR-M63-EGY-V-IRN.pdf,Egypt,Iran,117.2,118.8,5.9,6.5,
64,PMSR-M64-NZL-V-BEL.pdf,New Zealand,Belgium,117.6,119.8,6.9,6.9,
65,PMSR-M65-CPV-V-KSA.pdf,Cape Verde,Saudi Arabia,115.5,113.9,6.2,7.3,
66,PMSR-M66-URU-V-ESP.pdf,Uruguay,Spain,113.8,111.2,6.5,5.1,
67,PMSR-M67-PAN-V-ENG.pdf,Panama,England,111.3,115.2,6.2,7.6,
68,PMSR-M68-CRO-V-GHA.pdf,Croatia,Ghana,110.5,106.4,5.0,5.0,
69,PMSR-M69-ALG-V-AUT.pdf,Algeria,Austria,105.2,113.3,4.3,4.6,
70,PMSR-M70-JOR-V-ARG.pdf,Jordan,Argentina,110.6,105.9,4.9,4.7,
71,PMSR-M71-COL-V-POR.pdf,Colombia,Portugal,103.0,104.0,5.0,4.8,
72,PMSR-M72-COD-V-UZB-v2.pdf,DR Congo,Uzbekistan,115.1,115.8,5.5,5.6,
