espn_id,date,kickoff_utc,stage,home_team,away_team,home_score,away_score,total_goals,gd,outcome,winner,p_home,p_draw,p_away,brier,fav_side,p_fav,upset,fav_won,venue_city,stadium,lat,lon,tz,local_hour,daypart,temp_c,humidity_pct,apparent_c,heat_humidity_index,venue_env,open_air,tournament_day,matchday_mean,rest_days_min,wet_bulb_ko,wet_bulb_2h,radiation_ko,radiation_2h,wind_ko,wind_2h,cloud_ko,cloud_2h,precip_ko,precip_2h,err,attendance,fouls_h,yellows_h,reds_h,poss_h,shots_h,eacc_passes_h,epasses_h,fouls_a,yellows_a,reds_a,poss_a,shots_a,eacc_passes_a,epasses_a,delays,first_sub_h,subs_by60_h,first_sub_a,subs_by60_a,passes_total,fouls_total,cards_total,first_sub_mean,subs_by60_total,xg_h,xg_a,passes_h,passes_h2,passes_a,passes_a2,linebreaks_h,linebreaks_a,recff_h,recff_a,progress_h,progress_a,pressures_h,pressures_h2,pressures_a,pressures_a2,turnovers_h,turnovers_a,secondballs_h,secondballs_a,dist_h,dist_a,zone4_h,zone4_a,dist_total,zone4_total,xg_total,pass_tempo
760415,2026-06-11,2026-06-11 19:00:00+00:00,group,Mexico,South Africa,2,0,2,2,H,Mexico,0.8688,0.0664,0.0648,0.0258,H,0.8688,0.0,1.0,Mexico City,Estadio Azteca,19.3029,-99.1505,America/Mexico_City,13.0,midday(<15),22.6,53.0,25.1,11.978000000000002,open,1,0.7916666666666666,1.0,,16.4,16.8,850.0,847.0,2.5,2.9333333333333336,52.0,57.0,0.7,0.3333333333333333,,80824,12.0,1.0,1.0,60.5,16.0,467.0,520.0,11.0,2.0,2.0,39.5,3.0,272.0,334.0,9,66,0,56,1,854.0,23.0,12.0,61.0,1,1.78,0.1,547.0,495.0,351.0,290.0,105.0,57.0,117.0,36.0,23.0,8.0,170.0,26.0,306.0,45.0,31.0,32.0,56.0,45.0,107.3,97.1,5.3,5.1,204.39999999999998,10.399999999999999,1.8800000000000001,898.0
760414,2026-06-12,2026-06-12 02:00:00+00:00,group,South Korea,Czech Republic,2,1,3,1,H,South Korea,0.6072,0.115,0.2778,0.2447,H,0.6072,0.0,1.0,Guadalajara,Estadio Akron,20.6819,-103.4625,America/Mexico_City,20.0,evening(18-21),21.0,77.0,21.7,16.17,open,1,1.0833333333333333,1.0,,18.1,17.86666666666667,14.0,4.666666666666667,11.6,10.966666666666667,30.0,46.333333333333336,0.0,0.0,,44985,9.0,1.0,0.0,61.5,15.0,469.0,541.0,16.0,0.0,0.0,38.5,7.0,230.0,327.0,6,62,0,64,0,868.0,25.0,1.0,63.0,0,1.77,0.64,542.0,483.0,327.0,241.0,92.0,54.0,125.0,77.0,27.0,10.0,147.0,22.0,301.0,54.0,30.0,40.0,49.0,78.0,111.8,117.6,5.4,6.0,229.39999999999998,11.4,2.41,869.0
760416,2026-06-12,2026-06-12 19:00:00+00:00,group,Canada,Bosnia and Herzegovina,1,1,2,0,D,,0.7044,0.2024,0.0932,1.141,H,0.7044,1.0,0.0,Toronto,BMO Field,43.6332,-79.4185,America/Toronto,15.0,afternoon(15-18),26.3,44.0,26.0,11.572,open,1,1.7916666666666667,1.0,,18.1,17.8,865.0,695.3333333333334,19.3,18.8,30.0,33.666666666666664,0.0,0.0,,43002,10.0,2.0,0.0,61.1,13.0,310.0,421.0,20.0,3.0,0.0,38.9,8.0,172.0,271.0,12,61,0,62,0,692.0,30.0,5.0,61.5,0,1.49,0.76,412.0,316.0,279.0,186.0,84.0,61.0,143.0,51.0,30.0,22.0,160.0,38.0,203.0,35.0,50.0,51.0,94.0,79.0,111.3,109.5,5.8,5.2,220.8,11.0,2.25,691.0
760417,2026-06-13,2026-06-13 01:00:00+00:00,group,United States,Paraguay,4,1,5,3,H,United States,0.2734,0.277,0.4497,0.8069,A,0.4497,1.0,0.0,"Inglewood, California",SoFi Stadium,33.9535,-118.3392,America/Los_Angeles,18.0,evening(18-21),23.3,64.0,23.6,14.912,roof_canopy,0,2.0416666666666665,1.0,,18.5,18.133333333333336,420.0,234.66666666666666,12.3,9.733333333333334,15.0,10.666666666666666,0.0,0.0,,70492,13.0,1.0,0.0,65.3,16.0,509.0,598.0,17.0,5.0,0.0,34.7,9.0,232.0,319.0,15,45,1,45,1,917.0,30.0,6.0,45.0,2,1.88,0.6,602.0,520.0,316.0,234.0,129.0,53.0,201.0,31.0,52.0,17.0,204.0,39.0,360.0,75.0,50.0,49.0,101.0,55.0,119.9,114.3,6.2,6.1,234.2,12.3,2.48,918.0
760420,2026-06-13,2026-06-13 19:00:00+00:00,group,Qatar,Switzerland,1,1,2,0,D,,0.0609,0.1708,0.7683,1.2816,A,0.7683,1.0,0.0,"Santa Clara, California",Levi's Stadium,37.403,-121.97,America/Los_Angeles,12.0,midday(<15),26.1,43.0,28.2,11.223,open,1,2.7916666666666665,1.0,,17.8,18.400000000000002,945.0,992.0,7.4,10.066666666666668,2.0,0.6666666666666666,0.0,0.0,,67966,12.0,2.0,0.0,32.0,6.0,200.0,278.0,11.0,1.0,0.0,68.0,26.0,527.0,576.0,10,60,3,65,0,854.0,23.0,3.0,62.5,3,0.52,3.14,289.0,213.0,591.0,542.0,58.0,122.0,41.0,245.0,13.0,31.0,294.0,42.0,165.0,33.0,36.0,42.0,53.0,70.0,109.2,109.4,4.8,5.6,218.60000000000002,10.399999999999999,3.66,880.0
760419,2026-06-13,2026-06-13 22:00:00+00:00,group,Brazil,Morocco,1,1,2,0,D,,0.3774,0.2829,0.3397,0.7721,H,0.3774,1.0,0.0,"East Rutherford, New Jersey",MetLife Stadium,40.8135,-74.0745,America/New_York,18.0,evening(18-21),31.3,29.0,30.1,9.077,open,1,2.9166666666666665,1.0,,19.0,18.733333333333334,314.0,216.66666666666666,10.0,11.299999999999999,19.0,42.333333333333336,0.0,0.0,,80663,16.0,2.0,0.0,51.4,12.0,449.0,514.0,14.0,0.0,0.0,48.6,14.0,419.0,486.0,9,45,2,65,0,1000.0,30.0,2.0,55.0,2,0.99,1.33,514.0,457.0,503.0,431.0,89.0,81.0,100.0,149.0,30.0,49.0,315.0,54.0,285.0,41.0,41.0,50.0,56.0,79.0,113.7,114.9,6.8,6.5,228.60000000000002,13.3,2.3200000000000003,1017.0
760418,2026-06-14,2026-06-14 01:00:00+00:00,group,Haiti,Scotland,0,1,1,-1,A,Scotland,0.2027,0.2605,0.5367,0.3236,A,0.5367,0.0,1.0,"Foxborough, Massachusetts",Gillette Stadium,42.0909,-71.2643,America/New_York,21.0,night(>=21),25.2,42.0,24.0,10.583999999999998,open,1,3.0416666666666665,1.0,,16.9,16.400000000000002,2.0,0.6666666666666666,11.5,11.299999999999999,2.0,3.6666666666666665,0.0,0.0,,64146,23.0,1.0,0.0,53.7,15.0,367.0,431.0,21.0,3.0,0.0,46.3,9.0,307.0,374.0,8,61,0,75,0,805.0,44.0,4.0,68.0,0,0.7,0.91,431.0,378.0,397.0,324.0,84.0,86.0,116.0,77.0,24.0,21.0,185.0,35.0,230.0,39.0,29.0,35.0,53.0,52.0,113.7,117.6,5.9,5.9,231.3,11.8,1.6099999999999999,828.0
760421,2026-06-14,2026-06-14 04:00:00+00:00,group,Australia,Turkey,2,0,2,2,H,Australia,0.2341,0.2693,0.4965,0.9056,A,0.4965,1.0,0.0,Vancouver,BC Place,49.2768,-123.112,America/Vancouver,21.0,night(>=21),22.6,46.0,21.0,10.396,roof_canopy,0,3.1666666666666665,1.0,,15.4,15.166666666666666,61.0,20.666666666666668,11.6,8.200000000000001,63.0,49.0,0.0,0.0,,52497,12.0,0.0,0.0,28.4,9.0,201.0,271.0,4.0,1.0,0.0,71.6,30.0,635.0,704.0,7,61,0,45,1,975.0,16.0,1.0,53.0,1,0.99,1.66,293.0,224.0,722.0,663.0,56.0,132.0,68.0,348.0,22.0,38.0,384.0,57.0,170.0,31.0,35.0,30.0,62.0,87.0,116.6,112.5,5.6,5.1,229.1,10.7,2.65,1015.0
760422,2026-06-14,2026-06-14 17:00:00+00:00,group,Germany,Curaçao,7,1,8,6,H,Germany,0.7315,0.1897,0.0788,0.1143,H,0.7315,0.0,1.0,"Houston, Texas",NRG Stadium,29.6847,-95.4107,America/Chicago,12.0,midday(<15),29.5,73.0,34.3,21.535,indoor_ac,0,3.7083333333333335,1.0,,25.5,26.03333333333333,707.0,720.0,14.6,13.299999999999999,57.0,78.33333333333333,0.6,0.9333333333333332,,68021,18.0,0.0,0.0,64.6,26.0,554.0,637.0,11.0,0.0,0.0,35.4,8.0,282.0,343.0,4,64,0,45,1,980.0,29.0,0.0,54.5,1,4.17,0.4,641.0,569.0,362.0,291.0,125.0,72.0,252.0,61.0,32.0,34.0,227.0,55.0,339.0,48.0,46.0,43.0,82.0,58.0,116.2,103.5,6.3,5.0,219.7,11.3,4.57,1003.0
760425,2026-06-14,2026-06-14 20:00:00+00:00,group,Netherlands,Japan,2,2,4,0,D,,0.3387,0.2828,0.3784,0.7723,A,0.3784,1.0,0.0,"Arlington, Texas",AT&T Stadium,32.7473,-97.0945,America/Chicago,15.0,afternoon(15-18),28.6,70.0,31.9,20.02,indoor_ac,0,3.8333333333333335,1.0,,24.2,24.133333333333336,506.0,527.3333333333334,13.0,15.366666666666667,97.0,55.666666666666664,0.0,0.0,,69285,7.0,3.0,0.0,59.8,10.0,463.0,524.0,7.0,0.0,0.0,40.2,10.0,286.0,341.0,10,70,0,66,0,865.0,14.0,3.0,68.0,0,0.63,0.34,529.0,473.0,356.0,302.0,88.0,72.0,156.0,120.0,23.0,21.0,194.0,30.0,316.0,46.0,33.0,28.0,49.0,50.0,102.9,109.4,4.6,5.1,212.3,9.7,0.97,885.0
