match_no,team,coverage,jersey,player,dist_m,z1,z2,z3,z4,z5,hsr,sprints,top_speed
1,South Africa,1.0,1,RonwenWILLIAMS,5010.4,3978.6,903.5,110.9,17.4,,12.0,1.0,23.6
1,South Africa,1.0,4,TebohoMOKOENA,9860.8,3407.1,4302.3,1444.8,576.0,130.7,136.0,44.0,31.4
1,South Africa,1.0,6,AubreyMODIBA,8037.8,3061.5,3308.1,1162.3,459.6,46.2,98.0,39.0,27.8
1,South Africa,1.0,9,Lyle FOSTER,5968.5,2748.0,2225.6,643.4,263.1,88.4,66.0,16.0,31.2
1,South Africa,1.0,13,Sphephelo SITHOLE,5830.2,2127.2,2391.0,916.7,299.2,96.2,90.0,25.0,31.2
1,South Africa,1.0,14,MbekezeliMBOKAZI,8871.7,3834.8,3463.0,957.8,445.5,170.6,91.0,43.0,31.5
1,South Africa,1.0,15,lqraamRAYNERS,8151.6,3502.6,2814.2,1010.7,413.7,410.4,82.0,41.0,34.1
1,South Africa,1.0,19,NkosinathiSIBISI,9387.6,3780.7,3935.8,1141.2,389.6,140.3,101.0,38.0,29.9
1,South Africa,1.0,20,Khuliso MUDAU,9336.7,3664.0,3701.2,1125.4,538.6,307.4,100.0,48.0,33.3
1,South Africa,1.0,21,ImeOKON,9557.8,3716.3,3707.3,1411.8,588.3,134.1,119.0,52.0,31.6
1,South Africa,1.0,23,JaydenADAMS,6842.3,2717.9,2842.2,900.1,322.1,59.9,78.0,27.0,27.8
1,South Africa,1.0,5,ThalenteMBATHA,3973.8,1384.2,1565.8,635.7,331.5,56.5,59.0,24.0,34.4
1,South Africa,1.0,7,Oswin APPOLLIS,2145.3,667.0,898.8,358.2,183.1,38.3,37.0,16.0,29.9
1,South Africa,1.0,11,Themba ZWANE,2021.0,629.5,864.2,389.0,108.7,29.6,35.0,10.0,27.4
1,South Africa,1.0,17,EvidenceMAKGOPA,2064.9,837.4,793.2,224.2,144.8,65.2,17.0,11.0,32.4
2,South Korea,1.0,1,KIM Seunggyu,5527.3,3920.1,1372.3,170.6,49.0,15.3,16.0,5.0,26.9
2,South Korea,1.0,2,LEE Hanbeom,10260.7,3841.1,4522.5,1362.5,450.1,84.4,117.0,39.0,30.1
2,South Korea,1.0,3,LEE Gihyuk,10659.3,3552.1,4578.5,1783.8,624.7,120.2,158.0,51.0,29.2
2,South Korea,1.0,4,KIM Minjae,10124.4,3830.0,4407.7,1303.7,428.6,154.4,113.0,35.0,31.9
2,South Korea,1.0,6,HWANG Inbeom,9516.0,2970.3,4727.8,1319.4,405.7,92.8,111.0,36.0,28.5
2,South Korea,1.0,7,SON Heungmin,7029.0,2970.0,2600.4,605.8,486.1,366.6,58.0,38.0,35.2
2,South Korea,1.0,8,PAIK Seungho,9350.8,3288.3,4562.8,1263.7,216.9,19.0,115.0,20.0,29.3
2,South Korea,1.0,10,LEE Jaesung,7571.2,2523.8,3042.0,1270.6,534.4,200.4,110.0,44.0,29.2
2,South Korea,1.0,13,LEE Taeseok,7706.3,2565.8,3389.9,1122.4,458.1,170.1,90.0,35.0,31.9
2,South Korea,1.0,19,LEE Kangin,9529.9,3935.8,4107.1,1153.5,288.7,44.9,88.0,22.0,28.8
2,South Korea,1.0,22,SEOL Youngwoo,11283.9,4222.8,4452.2,1488.9,738.3,381.7,115.0,53.0,31.8
2,South Korea,1.0,11,HWANGHeechan,3482.9,1295.5,1476.8,450.5,167.6,92.5,45.0,13.0,29.9
2,South Korea,1.0,16,PARKJinseob,1652.4,570.8,708.3,251.1,117.3,4.8,22.0,7.0,25.7
2,South Korea,1.0,18,OH Hyeongyu,3040.6,1145.8,1288.6,350.8,188.9,66.5,31.0,15.0,29.1
2,South Korea,1.0,24,KIM Jingyu,1890.4,513.7,812.6,428.1,106.4,29.7,28.0,8.0,29.6
2,South Korea,1.0,25,EOMJisung,3180.4,1143.0,1216.0,508.6,178.4,134.3,40.0,13.0,30.6
2,Czech Republic,1.0,1,MatejKOVAR,5039.3,3765.0,1160.1,99.0,15.3,,12.0,1.0,22.3
2,Czech Republic,1.0,4,Robin HRANAC,9570.0,3919.4,3947.6,1120.3,475.3,107.3,107.0,41.0,29.3
2,Czech Republic,1.0,5,VladimirCOUFAL,11390.8,3854.4,4950.5,1740.5,635.7,209.7,145.0,48.0,30.6
2,Czech Republic,1.0,6,StepanCHALOUPEK,10873.7,4076.3,4497.6,1553.7,536.0,210.1,141.0,46.0,34.0
2,Czech Republic,1.0,7,Ladislav KREJCI,10877.7,3953.9,4861.5,1665.8,366.1,30.4,136.0,27.0,26.5
2,Czech Republic,1.0,10,PatrikSCHICK,8047.6,2319.8,4219.3,1066.3,377.3,64.8,90.0,28.0,28.9
2,Czech Republic,1.0,15,Pavel SULC,7868.4,2664.4,3320.1,1346.8,360.2,176.9,120.0,31.0,31.2
