match_no,home_team,away_team,err,xg_h,xg_a,passes_h,passes_h2,passes_a,passes_a2,linebreaks_h,linebreaks_a,recff_h,recff_a,progress_h,progress_a,pressures_h,pressures_h2,pressures_a,pressures_a2,turnovers_h,turnovers_a,secondballs_h,secondballs_a,dist_h,dist_a,zone4_h,zone4_a
1,Mexico,South Africa,,1.78,0.1,547.0,495.0,351.0,290.0,105.0,57.0,117.0,36.0,23.0,8.0,170.0,26.0,306.0,45.0,31.0,32.0,56.0,45.0,107.3,97.1,5.3,5.1
2,South Korea,Czech Republic,,1.77,0.64,542.0,483.0,327.0,241.0,92.0,54.0,125.0,77.0,27.0,10.0,147.0,22.0,301.0,54.0,30.0,40.0,49.0,78.0,111.8,117.6,5.4,6.0
3,Canada,Bosnia and Herzegovina,,1.49,0.76,412.0,316.0,279.0,186.0,84.0,61.0,143.0,51.0,30.0,22.0,160.0,38.0,203.0,35.0,50.0,51.0,94.0,79.0,111.3,109.5,5.8,5.2
4,United States,Paraguay,,1.88,0.6,602.0,520.0,316.0,234.0,129.0,53.0,201.0,31.0,52.0,17.0,204.0,39.0,360.0,75.0,50.0,49.0,101.0,55.0,119.9,114.3,6.2,6.1
5,Haiti,Scotland,,0.7,0.91,431.0,378.0,397.0,324.0,84.0,86.0,116.0,77.0,24.0,21.0,185.0,35.0,230.0,39.0,29.0,35.0,53.0,52.0,113.7,117.6,5.9,5.9
6,Australia,Turkey,,0.99,1.66,293.0,224.0,722.0,663.0,56.0,132.0,68.0,348.0,22.0,38.0,384.0,57.0,170.0,31.0,35.0,30.0,62.0,87.0,116.6,112.5,5.6,5.1
7,Brazil,Morocco,,0.99,1.33,514.0,457.0,503.0,431.0,89.0,81.0,100.0,149.0,30.0,49.0,315.0,54.0,285.0,41.0,41.0,50.0,56.0,79.0,113.7,114.9,6.8,6.5
8,Qatar,Switzerland,,0.52,3.14,289.0,213.0,591.0,542.0,58.0,122.0,41.0,245.0,13.0,31.0,294.0,42.0,165.0,33.0,36.0,42.0,53.0,70.0,109.2,109.4,4.8,5.6
9,Ivory Coast,Ecuador,,1.88,1.36,471.0,413.0,513.0,438.0,113.0,106.0,120.0,97.0,39.0,16.0,288.0,31.0,280.0,61.0,44.0,49.0,63.0,60.0,109.6,108.4,5.8,5.7
10,Germany,Curaçao,,4.17,0.4,641.0,569.0,362.0,291.0,125.0,72.0,252.0,61.0,32.0,34.0,227.0,55.0,339.0,48.0,46.0,43.0,82.0,58.0,116.2,103.5,6.3,5.0
11,Netherlands,Japan,,0.63,0.34,529.0,473.0,356.0,302.0,88.0,72.0,156.0,120.0,23.0,21.0,194.0,30.0,316.0,46.0,33.0,28.0,49.0,50.0,102.9,109.4,4.6,5.1
12,Sweden,Tunisia,,2.09,0.34,356.0,290.0,370.0,299.0,71.0,76.0,103.0,84.0,26.0,19.0,172.0,44.0,223.0,45.0,42.0,41.0,69.0,67.0,111.3,109.7,5.1,5.9
13,Saudi Arabia,Uruguay,,1.06,1.5,331.0,243.0,623.0,566.0,54.0,128.0,60.0,222.0,13.0,32.0,318.0,40.0,157.0,23.0,44.0,39.0,58.0,67.0,109.5,110.9,4.7,5.2
14,Spain,Cape Verde,,2.26,0.13,811.0,755.0,306.0,227.0,144.0,57.0,426.0,17.0,23.0,23.0,200.0,37.0,398.0,44.0,53.0,47.0,83.0,54.0,115.5,112.4,5.0,4.2
15,Iran,New Zealand,,1.85,1.47,417.0,333.0,448.0,378.0,75.0,89.0,98.0,104.0,31.0,22.0,253.0,54.0,234.0,42.0,46.0,47.0,83.0,67.0,113.0,112.9,6.1,6.6
16,Belgium,Egypt,,1.07,0.73,476.0,415.0,411.0,339.0,106.0,78.0,181.0,96.0,36.0,22.0,227.0,44.0,258.0,68.0,41.0,52.0,70.0,66.0,113.3,111.3,6.3,6.2
17,France,Senegal,,1.62,0.39,584.0,516.0,521.0,453.0,118.0,101.0,99.0,78.0,37.0,28.0,277.0,49.0,308.0,44.0,54.0,39.0,67.0,64.0,120.2,116.7,7.0,6.2
18,Iraq,Norway,,1.2,2.41,347.0,286.0,548.0,493.0,70.0,116.0,72.0,101.0,24.0,34.0,288.0,64.0,173.0,34.0,42.0,31.0,52.0,52.0,111.7,116.3,5.6,5.3
19,Argentina,Algeria,,1.58,0.41,578.0,517.0,634.0,578.0,102.0,115.0,68.0,160.0,18.0,40.0,288.0,57.0,332.0,37.0,46.0,40.0,50.0,59.0,108.4,109.3,4.4,5.2
20,Austria,Jordan,,1.93,0.53,587.0,499.0,344.0,254.0,112.0,63.0,132.0,91.0,35.0,23.0,206.0,44.0,322.0,42.0,54.0,55.0,83.0,85.0,120.4,119.2,6.7,6.7
