tournament,model,champion_brier,brier_skill_score,predicted_champion_prob,champion_rank,group_match_accuracy,knockout_accuracy
2014 Brazil,Elo Baseline,0.017117748333333335,0.1608661242553191,0.1517,3,0.625,0.7333333333333333
2014 Brazil,Chronos-2,0.0172986875,0.15199625531914895,0.1472,3,,
2014 Brazil,TimesFM-2.5,0.017128355416666668,0.1603461514893617,0.1508,3,,
2014 Brazil,FlowState,0.017313888333333333,0.15125109106382983,0.1463,3,,
2018 Russia,Elo Baseline,0.02291838208333333,-0.12348834723404245,0.0369,0,0.5833333333333334,0.4666666666666667
2018 Russia,Chronos-2,0.0227858075,-0.11698937191489356,0.0362,0,,
2018 Russia,TimesFM-2.5,0.0226846525,-0.11203062468085112,0.0429,0,,
2018 Russia,FlowState,0.022650530416666665,-0.11035791659574468,0.0411,0,,
2022 Qatar,Elo Baseline,0.014146578333333333,0.3065166706382979,0.2564,2,0.5,0.8
2022 Qatar,Chronos-2,0.013554199583333336,0.3355558331914893,0.2728,2,,
2022 Qatar,TimesFM-2.5,0.014061685000000003,0.31067825021276585,0.2591,2,,
2022 Qatar,FlowState,0.013939455416666668,0.3166701004255319,0.2651,2,,
