team,P(group_advance),P(r32),P(r16),P(qf),P(sf),P(final),P(champion)
Spain,0.9946,0.9946,0.74096,0.57884,0.45044,0.3341,0.24468
Argentina,0.96104,0.96104,0.7139,0.48476,0.3332,0.19146,0.11586
France,0.9253,0.9253,0.56032,0.3877,0.25444,0.15802,0.08546
England,0.96058,0.96058,0.6772,0.40514,0.2577,0.15328,0.08052
Ecuador,0.94754,0.94754,0.66354,0.39084,0.23656,0.11934,0.0621
Turkey,0.83594,0.83594,0.54844,0.32358,0.16022,0.0784,0.03616
Brazil,0.8958,0.8958,0.5675,0.325,0.1559,0.08028,0.03578
Colombia,0.88998,0.88998,0.54092,0.27718,0.1447,0.07404,0.03218
Morocco,0.87594,0.87594,0.54272,0.2985,0.14136,0.06964,0.03126
Norway,0.82942,0.82942,0.40396,0.2412,0.13112,0.06858,0.02994
Mexico,0.99096,0.99096,0.68026,0.3658,0.17528,0.07482,0.02794
Germany,0.8934,0.8934,0.55156,0.28934,0.14858,0.06318,0.02708
Japan,0.91242,0.91242,0.55636,0.31,0.14822,0.0636,0.02672
Netherlands,0.89372,0.89372,0.52818,0.28486,0.13382,0.0554,0.02228
Portugal,0.8529,0.8529,0.48504,0.22708,0.11142,0.05296,0.02196
Switzerland,0.94278,0.94278,0.48454,0.2448,0.10998,0.04444,0.01658
Paraguay,0.72962,0.72962,0.42358,0.21662,0.09016,0.03642,0.01398
Croatia,0.84028,0.84028,0.43776,0.1761,0.07898,0.03286,0.01244
Belgium,0.87816,0.87816,0.4709,0.2106,0.0777,0.0308,0.01132
Uruguay,0.86888,0.86888,0.35432,0.17676,0.07984,0.03402,0.01132
Canada,0.95072,0.95072,0.43278,0.19096,0.07422,0.02546,0.00806
South Korea,0.83366,0.83366,0.39228,0.16246,0.06098,0.01986,0.00642
Australia,0.60896,0.60896,0.30896,0.13854,0.0496,0.01766,0.00588
Algeria,0.68468,0.68468,0.31312,0.13586,0.05126,0.01774,0.00564
Senegal,0.632,0.632,0.24042,0.11138,0.04376,0.017,0.00558
Scotland,0.6413,0.6413,0.28026,0.10188,0.03456,0.01132,0.0034
Iran,0.76886,0.76886,0.336,0.11976,0.03556,0.01194,0.0034
United States,0.54224,0.54224,0.2384,0.09374,0.0303,0.01024,0.00292
Austria,0.5968,0.5968,0.24312,0.09366,0.0307,0.00962,0.0025
Panama,0.66848,0.66848,0.26184,0.08244,0.0273,0.00832,0.00234
Ivory Coast,0.60208,0.60208,0.2367,0.08282,0.02304,0.0061,0.00182
Egypt,0.68594,0.68594,0.26226,0.08184,0.02262,0.0067,0.0017
Uzbekistan,0.51784,0.51784,0.18024,0.0515,0.01702,0.0047,0.00122
Czech Republic,0.63294,0.63294,0.20532,0.05994,0.01668,0.00374,0.00092
DR Congo,0.42772,0.42772,0.13234,0.0335,0.0101,0.0029,0.00072
Iraq,0.30166,0.30166,0.07796,0.025,0.00686,0.00212,0.00048
Sweden,0.47994,0.47994,0.14022,0.03966,0.0092,0.00166,0.00036
Jordan,0.41202,0.41202,0.1335,0.04136,0.01074,0.00268,0.00034
Tunisia,0.38516,0.38516,0.09868,0.0244,0.00532,0.00106,0.00024
Bosnia and Herzegovina,0.4774,0.4774,0.09098,0.01852,0.00348,0.00056,0.00012
New Zealand,0.37246,0.37246,0.09406,0.02112,0.00418,0.00074,0.0001
Saudi Arabia,0.40642,0.40642,0.08712,0.0201,0.00388,0.00058,8e-05
Haiti,0.279,0.279,0.07162,0.01692,0.00378,0.00068,8e-05
South Africa,0.17718,0.17718,0.02948,0.00534,0.00092,0.00018,6e-05
Cape Verde,0.29976,0.29976,0.052,0.01036,0.00172,0.00034,6e-05
Qatar,0.26076,0.26076,0.0361,0.00536,0.0004,4e-05,0.0
Curaçao,0.22692,0.22692,0.05262,0.0109,0.00124,0.00018,0.0
Ghana,0.20784,0.20784,0.03966,0.00598,0.00096,0.00024,0.0
