team,P(group_advance),P(r32),P(r16),P(qf),P(sf),P(final),P(champion)
Spain,0.99466,0.99466,0.73808,0.57384,0.44884,0.33298,0.24346
Argentina,0.96308,0.96308,0.71904,0.49084,0.33806,0.19014,0.11352
France,0.9289,0.9289,0.56422,0.3929,0.25724,0.16302,0.08908
England,0.9596,0.9596,0.67898,0.40444,0.2567,0.1492,0.07686
Ecuador,0.9526,0.9526,0.67314,0.3955,0.2404,0.12262,0.06382
Colombia,0.90948,0.90948,0.56484,0.30134,0.16058,0.0874,0.03956
Brazil,0.89322,0.89322,0.56822,0.32436,0.15568,0.07936,0.037
Turkey,0.83966,0.83966,0.55436,0.32144,0.15818,0.0768,0.03434
Norway,0.8487,0.8487,0.41962,0.25126,0.13836,0.07418,0.03336
Morocco,0.8768,0.8768,0.53946,0.29364,0.13492,0.06658,0.02824
Mexico,0.99082,0.99082,0.67946,0.36716,0.17822,0.07424,0.02774
Japan,0.9143,0.9143,0.55816,0.31208,0.1502,0.06282,0.02712
Germany,0.90042,0.90042,0.55798,0.29062,0.14784,0.0635,0.0268
Portugal,0.86304,0.86304,0.4969,0.23234,0.11254,0.05358,0.02214
Netherlands,0.90356,0.90356,0.5381,0.28962,0.13344,0.05494,0.02188
Switzerland,0.93934,0.93934,0.47124,0.2338,0.09984,0.0378,0.01342
Belgium,0.89068,0.89068,0.49278,0.22056,0.08188,0.0351,0.01338
Paraguay,0.72796,0.72796,0.4168,0.21204,0.08802,0.03562,0.01318
Croatia,0.84266,0.84266,0.4371,0.17788,0.0813,0.03278,0.0115
Uruguay,0.86724,0.86724,0.34294,0.16784,0.0764,0.03218,0.01074
Canada,0.9535,0.9535,0.44056,0.1988,0.07744,0.026,0.0084
South Korea,0.82492,0.82492,0.38218,0.15536,0.0586,0.0191,0.0067
Australia,0.60624,0.60624,0.29996,0.12934,0.04554,0.01576,0.0054
Iran,0.80696,0.80696,0.377,0.14144,0.04554,0.01656,0.00538
Algeria,0.68058,0.68058,0.30278,0.12988,0.04846,0.016,0.0052
Senegal,0.62044,0.62044,0.23004,0.10196,0.03756,0.01434,0.00456
Austria,0.61584,0.61584,0.25098,0.0969,0.03214,0.0101,0.00302
Scotland,0.63712,0.63712,0.27326,0.10118,0.03292,0.01004,0.00298
United States,0.54782,0.54782,0.24374,0.09508,0.03034,0.00924,0.0029
Panama,0.66882,0.66882,0.2604,0.08292,0.0282,0.00864,0.00198
Egypt,0.6568,0.6568,0.2391,0.06978,0.01794,0.0047,0.00136
Ivory Coast,0.59024,0.59024,0.22624,0.07448,0.01924,0.0057,0.00122
Uzbekistan,0.52988,0.52988,0.17866,0.0512,0.01542,0.00424,0.00104
Czech Republic,0.64376,0.64376,0.2142,0.06562,0.0187,0.00432,0.00096
Jordan,0.40216,0.40216,0.12604,0.03914,0.01014,0.00244,0.00056
Sweden,0.46456,0.46456,0.1335,0.03644,0.00806,0.00136,0.00026
DR Congo,0.37482,0.37482,0.10168,0.024,0.0063,0.00148,0.00024
Tunisia,0.38434,0.38434,0.09662,0.02354,0.00454,0.00094,0.00018
Iraq,0.28646,0.28646,0.06994,0.0207,0.00458,0.001,0.00014
Haiti,0.2838,0.2838,0.07458,0.01782,0.0041,0.00076,0.0001
New Zealand,0.34954,0.34954,0.08234,0.01654,0.0026,0.00048,8e-05
South Africa,0.17772,0.17772,0.03108,0.00572,0.00112,0.00016,8e-05
Saudi Arabia,0.42268,0.42268,0.0879,0.02018,0.00378,0.00056,4e-05
Cape Verde,0.29284,0.29284,0.0498,0.0093,0.00168,0.0003,4e-05
Bosnia and Herzegovina,0.4834,0.4834,0.09368,0.01908,0.00338,0.00054,4e-05
Qatar,0.26014,0.26014,0.03466,0.00416,0.00058,4e-05,0.0
Ghana,0.20332,0.20332,0.0382,0.00634,0.00112,0.0002,0.0
Curaçao,0.22458,0.22458,0.04946,0.0096,0.00134,0.00016,0.0
