team,P(group_advance),P(r32),P(r16),P(qf),P(sf),P(final),P(champion)
Spain,0.9943,0.9943,0.74324,0.58332,0.456,0.3373,0.24786
Argentina,0.96224,0.96224,0.71772,0.4892,0.33338,0.1901,0.11286
France,0.92284,0.92284,0.55518,0.38398,0.25276,0.1586,0.08508
England,0.96186,0.96186,0.67976,0.40712,0.2606,0.15488,0.08042
Ecuador,0.9499,0.9499,0.6687,0.39574,0.23876,0.12102,0.06228
Brazil,0.89632,0.89632,0.56994,0.32576,0.1537,0.07926,0.0362
Turkey,0.82988,0.82988,0.54238,0.31802,0.15618,0.07648,0.0347
Colombia,0.89122,0.89122,0.5412,0.27742,0.14496,0.07492,0.03382
Norway,0.83318,0.83318,0.41254,0.25012,0.13756,0.07302,0.03188
Morocco,0.87722,0.87722,0.54656,0.30148,0.13926,0.06928,0.03042
Japan,0.91316,0.91316,0.56332,0.31728,0.1571,0.06764,0.02906
Mexico,0.99102,0.99102,0.68358,0.36914,0.17962,0.075,0.02892
Germany,0.8951,0.8951,0.54992,0.28712,0.14378,0.06306,0.02644
Portugal,0.84986,0.84986,0.48292,0.22398,0.10844,0.05224,0.02174
Netherlands,0.89354,0.89354,0.52592,0.28016,0.12924,0.05444,0.02156
Switzerland,0.94084,0.94084,0.4749,0.23938,0.10428,0.0402,0.01526
Paraguay,0.72332,0.72332,0.4148,0.20888,0.0874,0.03578,0.01372
Belgium,0.87816,0.87816,0.47866,0.21332,0.07854,0.03302,0.01176
Uruguay,0.86318,0.86318,0.34754,0.17028,0.07708,0.03218,0.01174
Croatia,0.84716,0.84716,0.4448,0.17914,0.0821,0.03352,0.0117
Canada,0.95226,0.95226,0.43134,0.19118,0.07302,0.02488,0.00796
South Korea,0.838,0.838,0.3952,0.1625,0.0625,0.01976,0.00638
Australia,0.60704,0.60704,0.30884,0.1392,0.04958,0.01678,0.006
Algeria,0.67728,0.67728,0.3084,0.13132,0.04938,0.0178,0.00566
Senegal,0.62726,0.62726,0.23638,0.10792,0.04126,0.01496,0.00526
Iran,0.76796,0.76796,0.3384,0.11992,0.03678,0.01232,0.00326
United States,0.5562,0.5562,0.24786,0.10106,0.03484,0.01048,0.0031
Scotland,0.63786,0.63786,0.2732,0.10054,0.03374,0.01066,0.00294
Panama,0.66988,0.66988,0.264,0.08306,0.02816,0.0086,0.00254
Austria,0.60084,0.60084,0.2456,0.09632,0.0324,0.00966,0.00234
Egypt,0.67526,0.67526,0.25672,0.0814,0.02194,0.00626,0.0014
Ivory Coast,0.60196,0.60196,0.23146,0.07758,0.0216,0.00558,0.00138
Uzbekistan,0.51302,0.51302,0.17512,0.05034,0.01544,0.00358,0.00108
Jordan,0.41352,0.41352,0.13502,0.04144,0.011,0.0027,0.00062
Czech Republic,0.61224,0.61224,0.18666,0.05266,0.0142,0.003,0.0006
DR Congo,0.43348,0.43348,0.13286,0.03414,0.00964,0.00218,0.00052
Sweden,0.47668,0.47668,0.14166,0.04112,0.00934,0.00228,0.00044
Iraq,0.30242,0.30242,0.07918,0.02602,0.00664,0.00186,0.0004
Tunisia,0.38428,0.38428,0.10084,0.02556,0.0054,0.00096,0.00022
Haiti,0.28328,0.28328,0.07382,0.01718,0.00386,0.00066,0.00014
New Zealand,0.38978,0.38978,0.10198,0.0217,0.0042,0.00074,0.00012
Saudi Arabia,0.40382,0.40382,0.08358,0.0193,0.00428,0.00092,0.0001
Bosnia and Herzegovina,0.489,0.489,0.09674,0.01956,0.00382,0.00066,0.0001
Cape Verde,0.31166,0.31166,0.0562,0.01148,0.00212,0.00032,2e-05
Ghana,0.20138,0.20138,0.03848,0.00628,0.0011,0.00012,0.0
Qatar,0.25164,0.25164,0.03352,0.00458,0.00046,0.0,0.0
South Africa,0.18758,0.18758,0.03302,0.0054,0.001,0.00018,0.0
Curaçao,0.22012,0.22012,0.05034,0.0104,0.00156,0.00016,0.0
